N,L,choice,numProc,numThread,timeTaken
147023,200,5,6,6,6.11669
147023,200,4,2,2,11.6498
147023,200,4,7,7,3.3419
147023,200,4,6,6,3.91841
147023,200,5,7,7,5.25582
147023,200,5,1,1,35.2794
147023,200,5,6,6,6.09417
147023,200,5,2,2,17.7476
147023,200,4,7,7,3.3508
147023,200,4,6,6,3.90632
147023,200,5,7,7,5.25958
147023,200,4,1,1,23.4426
147023,200,5,6,6,6.1094
147023,200,5,1,1,35.2628
147023,200,4,1,1,23.3106
147023,200,5,1,1,35.2728
120,18,4,8,8,0.000720978
120,18,5,8,8,0.00141001
120,18,4,8,8,0.000250101
120,18,5,8,8,0.00144291
120,18,4,8,8,0.000634193
120,18,5,8,8,0.00145602
120,18,4,8,8,0.000266075
120,18,5,8,8,0.00188398
120,18,4,8,8,0.000263929
120,18,5,8,8,0.00183392
10549,100,4,8,8,0.0173559
10549,100,5,8,8,0.0360401
10549,100,4,8,8,0.015842
10549,100,5,8,8,0.035552
10549,100,4,8,8,0.0159972
10549,100,5,8,8,0.0352788
10549,100,4,8,8,0.0159581
10549,100,5,8,8,0.0362291
10549,100,4,8,8,0.0156898
10549,100,5,8,8,0.0351789
147023,200,4,8,8,2.92496
147023,200,5,8,8,4.6325
147023,200,4,8,8,2.92548
147023,200,5,8,8,4.64039
147023,200,4,8,8,2.92635
147023,200,5,8,8,4.63912
147023,200,4,8,8,2.92828
147023,200,5,8,8,4.63046
147023,200,4,8,8,2.92796
147023,200,5,8,8,4.63681

120,18,8,3,3,0.000142097
120,18,8,1,1,0.000178099
120,18,8,2,2,0.000161171
120,18,8,4,4,0.000605106
120,18,9,3,3,0.00115299
120,18,9,1,1,0.0010848
120,18,9,2,2,0.00103188
120,18,9,4,4,0.00115299
120,18,8,3,3,0.000133038
120,18,8,1,1,0.000175953
120,18,8,2,2,0.000124931
120,18,8,4,4,0.000479937
120,18,9,1,1,0.000983953
120,18,9,3,3,0.00157881
120,18,9,2,2,0.00105691
120,18,8,1,1,0.000180006
120,18,9,4,4,0.00114894
120,18,8,3,3,0.000138998
120,18,9,1,1,0.00099206
120,18,8,2,2,0.000142097
120,18,9,3,3,0.00113392
120,18,8,4,4,0.000149965
120,18,8,1,1,0.000172853
120,18,9,2,2,0.00102615
120,18,8,3,3,0.000129938
120,18,9,1,1,0.00107384
120,18,9,4,4,0.00149393
120,18,8,2,2,0.000129223
120,18,8,1,1,0.00017786
120,18,9,3,3,0.001091
120,18,8,4,4,0.000560999
120,18,9,2,2,0.00105882
120,18,9,1,1,0.000975847
120,18,8,3,3,0.000141144
10549,100,8,1,1,0.021898
120,18,9,4,4,0.00116897
120,18,8,2,2,0.000134945
120,18,9,3,3,0.00109196
120,18,8,4,4,0.000163078
10549,100,9,1,1,0.025471
120,18,9,2,2,0.00103593
10549,100,8,3,3,0.00941706
120,18,9,4,4,0.00122309
10549,100,8,2,2,0.014981
10549,100,8,1,1,0.021908
10549,100,9,3,3,0.0179219
10549,100,8,4,4,0.00725508
10549,100,9,1,1,0.025207
10549,100,9,2,2,0.0203471
10549,100,8,3,3,0.00925493
10549,100,8,1,1,0.022033
10549,100,9,4,4,0.0153151
10549,100,8,2,2,0.013478
10549,100,9,3,3,0.0163519
10549,100,9,1,1,0.025584
10549,100,8,4,4,0.00733018
10549,100,9,2,2,0.019702
10549,100,8,3,3,0.00935602
10549,100,8,1,1,0.022125
10549,100,9,4,4,0.0136559
10549,100,9,3,3,0.017489
10549,100,8,2,2,0.0134549
10549,100,9,1,1,0.0254128
10549,100,8,4,4,0.00722814
10549,100,8,3,3,0.00928688
10549,100,9,2,2,0.0212691
10549,100,8,1,1,0.0220592
10549,100,9,4,4,0.0153108
10549,100,9,3,3,0.0178001
10549,100,8,2,2,0.0134649
10549,100,9,1,1,0.0251889
10549,100,8,4,4,0.00725293
10549,100,8,3,3,0.00962305
10549,100,9,2,2,0.020926
10549,100,9,4,4,0.014672
10549,100,9,3,3,0.016654
10549,100,8,2,2,0.0133832
147023,200,8,1,1,0.500211
10549,100,8,4,4,0.00802302
10549,100,9,2,2,0.0211792
147023,200,8,3,3,0.187517
10549,100,9,4,4,0.014065
147023,200,8,2,2,0.275279
147023,200,8,4,4,0.138104
147023,200,9,3,3,0.284851
147023,200,9,1,1,0.527228
147023,200,9,2,2,0.350416
